key,value_type,count,sample_value
banner_1773986964546_qyzjt5ekt,object,null,"{""id"": ""1773986964546_qyzjt5ekt"", ""type"": ""hero"", ""order"": 1, ""title"": ""landing page"", ""linkUrl"": """", ""imageUrl"": ""https://bqtzxoteoucvioxqgfpc.supabase.co/storage/v1/object/public/make-577b3f26-banne"
categories:1,object,null,"{""id"": ""1"", ""code"": ""1"", ""name"": ""Neckerchiefs"", ""path"": ""clothing-aprons-and-footwear/headwear-and-neckerchiefs/neckerchiefs"", ""slug"": ""neckerchiefs"", ""image"": ""https://media.nisbets.com/asset/au/cat"
categories:1002,object,null,"{""id"": ""1002"", ""code"": ""1002"", ""name"": ""Stainless Steel Gastronorm Pans"", ""path"": ""kitchenware-and-storage/food-storage/stainless-steel-gastronorm-pans"", ""slug"": ""stainless-steel-gastronorm-pans"", ""im"
categories:1003,object,null,"{""id"": ""1003"", ""code"": ""1003"", ""name"": ""Bar Blenders and Smoothie Makers"", ""path"": ""commercial-kitchen-machines/blenders/bar-blenders-and-smoothie-makers"", ""slug"": ""bar-blenders-and-smoothie-makers"", "
categories:10044,object,null,"{""id"": ""10044"", ""code"": ""10044"", ""name"": ""Glasswashers"", ""path"": ""commercial-kitchen-machines/dishwashers-and-glasswashers/glasswashers"", ""slug"": ""glasswashers"", ""image"": ""https://media.nisbets.com/as"
categories:10092,object,null,"{""id"": ""10092"", ""code"": ""10092"", ""name"": ""Olympia Athena Crockery"", ""path"": ""tableware-and-bar-supplies/crockery/olympia-athena-crockery"", ""slug"": ""olympia-athena-crockery"", ""image"": ""https://media.ni"
categories:10113,object,null,"{""id"": ""10113"", ""code"": ""10113"", ""name"": ""Roma 18/10 Cutlery"", ""path"": ""tableware-and-bar-supplies/cutlery/olympia-cutlery/roma-1810-cutlery"", ""slug"": ""roma-1810-cutlery"", ""image"": ""https://media.nisb"
categories:10114,object,null,"{""id"": ""10114"", ""code"": ""10114"", ""name"": ""Napoli 18/10 Cutlery"", ""path"": ""tableware-and-bar-supplies/cutlery/olympia-cutlery/napoli-1810-cutlery"", ""slug"": ""napoli-1810-cutlery"", ""image"": ""https://medi"
categories:10115,object,null,"{""id"": ""10115"", ""code"": ""10115"", ""name"": ""Torino Cutlery"", ""path"": ""tableware-and-bar-supplies/cutlery/trenton-cutlery/torino-cutlery"", ""slug"": ""torino-cutlery"", ""image"": ""https://media.nisbets.com/as"
categories:10160,object,null,"{""id"": ""10160"", ""code"": ""10160"", ""name"": ""Stemmed Beer Glasses"", ""path"": ""tableware-and-bar-supplies/glassware/beer-glassware/stemmed-beer-glasses"", ""slug"": ""stemmed-beer-glasses"", ""image"": ""https://m"
categories:10189,object,null,"{""id"": ""10189"", ""code"": ""10189"", ""name"": ""Bolero Spares and Accessories"", ""path"": ""commercial-kitchen-machines/spares--accessories/bolero-spares-and-accessories"", ""slug"": ""bolero-spares-and-accessorie"
categories:10197,object,null,"{""id"": ""10197"", ""code"": ""10197"", ""name"": ""Vogue Spares and Accessories"", ""path"": ""commercial-kitchen-machines/spares--accessories/vogue-spares-and-accessories"", ""slug"": ""vogue-spares-and-accessories"","
categories:10376,object,null,"{""id"": ""10376"", ""code"": ""10376"", ""name"": ""Cheese Knives and Cheese Cutters"", ""path"": ""kitchenware-and-storage/professional-kitchen-knives/cheese-knives-and-cheese-cutters"", ""slug"": ""cheese-knives-and-"
