Name,Slug,Code,Path,Full Path,Level,Parent,Image URL,Product Count,Has Children
Tableware & Bar Supplies,tableware-and-bar-supplies,G1,tableware-and-bar-supplies,Tableware & Bar Supplies,1,,,0,Yes
Consumables,consumables,G2,consumables,Consumables,1,,,0,Yes
Furniture & Hotel Supplies,furniture,G3,furniture,Furniture & Hotel Supplies,1,,,0,Yes
"Clothing, Aprons & Footwear",clothing-aprons-and-footwear,G4,clothing-aprons-and-footwear,"Clothing, Aprons & Footwear",1,,,0,Yes
Kitchenware & Storage,kitchenware-and-storage,G5,kitchenware-and-storage,Kitchenware & Storage,1,,,0,Yes
Cleaning & Hygiene,cleaning-and-hygiene,G6,cleaning-and-hygiene,Cleaning & Hygiene,1,,,0,Yes
Commercial Kitchen Machines & Dishwashers,commercial-kitchen-machines,G7,commercial-kitchen-machines,Commercial Kitchen Machines & Dishwashers,1,,,0,Yes
Refrigeration & Ice Machines,refrigeration-and-ice-machines,G9,refrigeration-and-ice-machines,Refrigeration & Ice Machines,1,,,0,Yes
Clearance and Special Offers,clearance-and-special-offers,G8,clearance-and-special-offers,Clearance and Special Offers,1,,,0,Yes
Tableware New Arrivals,tableware-new-arrivals,14359,tableware-and-bar-supplies/tableware-new-arrivals,Tableware & Bar Supplies > Tableware New Arrivals,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/14359.jpg,0,Yes
Crockery,crockery,C19,tableware-and-bar-supplies/crockery,Tableware & Bar Supplies > Crockery,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c19.jpg,0,Yes
Cutlery,cutlery,C21,tableware-and-bar-supplies/cutlery,Tableware & Bar Supplies > Cutlery,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c21.jpg,0,Yes
Glassware,glassware,C22,tableware-and-bar-supplies/glassware,Tableware & Bar Supplies > Glassware,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c22.jpg,0,Yes
Bar Supplies,bar-supplies,C20,tableware-and-bar-supplies/bar-supplies,Tableware & Bar Supplies > Bar Supplies,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c20.jpg,0,Yes
Tabletop,tabletop,C5,tableware-and-bar-supplies/tabletop,Tableware & Bar Supplies > Tabletop,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c5.jpg,0,Yes
Buffet Display,buffet-display,C45,tableware-and-bar-supplies/buffet-display,Tableware & Bar Supplies > Buffet Display,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c45.jpg,0,Yes
Beverage Service,beverage-service,C48,tableware-and-bar-supplies/beverage-service,Tableware & Bar Supplies > Beverage Service,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c48.jpg,0,Yes
Insulated Food Service,insulated-food-service,14717,tableware-and-bar-supplies/insulated-food-service,Tableware & Bar Supplies > Insulated Food Service,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/14717.jpg,0,Yes
Menus and Bill Holders,menus-and-bill-holders,C84,tableware-and-bar-supplies/menus-and-bill-holders,Tableware & Bar Supplies > Menus and Bill Holders,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c84.jpg,0,Yes
Blackboards and Signs,blackboards-and-signs,C38,tableware-and-bar-supplies/blackboards-and-signs,Tableware & Bar Supplies > Blackboards and Signs,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c38.jpg,0,Yes
Service Trays,service-trays,C47,tableware-and-bar-supplies/service-trays,Tableware & Bar Supplies > Service Trays,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/c47.jpg,0,Yes
Table Linen,table-linen,12291,tableware-and-bar-supplies/table-linen,Tableware & Bar Supplies > Table Linen,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/12291.jpg,0,Yes
Cash Registers and Till Rolls,cash-registers-and-till-rolls,13249,tableware-and-bar-supplies/cash-registers-and-till-rolls,Tableware & Bar Supplies > Cash Registers and Till Rolls,2,Tableware & Bar Supplies,https://media.nisbets.com/asset/au/category/grid_large/13249.jpg,0,Yes
Consumables New Arrivals,consumables-new-arrivals,14360,consumables/consumables-new-arrivals,Consumables > Consumables New Arrivals,2,Consumables,https://media.nisbets.com/asset/au/category/grid_large/14360.jpg,0,Yes
Catering Disposables,catering-disposables,C33,consumables/catering-disposables,Consumables > Catering Disposables,2,Consumables,https://media.nisbets.com/asset/au/category/grid_large/c33.jpg,0,Yes
